기업명,제목,주소,링크
㈜위메프,[위메프서비스] E-Commerce 데이터엔지니어/NLP개발자,서울 강남구,https://www.jobkorea.co.kr//Recruit/GI_Read/37273594?Oem_Code=C1&logpath=1&stext=데이터엔지니어&listno=1
㈜스마일게이트스토브,"[데이터기술] 데이터엔지니어 (Kafka, Elasticsearch) 담당",경기 성남시,https://www.jobkorea.co.kr//Recruit/GI_Read/36835397?Oem_Code=C1&logpath=1&stext=데이터엔지니어&listno=2
㈜안랩,[경력] 데이터 엔지니어(개발자),경기 성남시,https://www.jobkorea.co.kr//Recruit/GI_Read/37400619?Oem_Code=C1&logpath=1&stext=데이터엔지니어&listno=3
주식회사 휴머스온,"데이터엔지니어, 데이터사이언티스트, Application  architect 경력 모집",서울 강남구 외,https://www.jobkorea.co.kr//Recruit/GI_Read/37512033?Oem_Code=C1&logpath=1&stext=데이터엔지니어&listno=4
㈜위메이드,[위메이드] 플랫폼 개발자 / DBA / 데이터 엔지니어 채용 공고,경기 성남시,https://www.jobkorea.co.kr//Recruit/GI_Read/37441043?Oem_Code=C1&logpath=1&stext=데이터엔지니어&listno=5
네이버제트,데이터 엔지니어 모집,경기 성남시,https://www.jobkorea.co.kr//Recruit/GI_Read/37402263?Oem_Code=C1&logpath=1&stext=데이터엔지니어&listno=6
㈜케이디엑스한국데이터거래소,데이터 분석 / 데이터 엔지니어 분야 정규직(경력) 채용,서울 중구,https://www.jobkorea.co.kr//Recruit/GI_Read/37363855?Oem_Code=C1&logpath=1&stext=데이터엔지니어&listno=7
㈜YG엔터테인먼트,[YG엔터테인먼트] IT개발(경력) / 데이터 엔지니어(DE),서울 마포구,https://www.jobkorea.co.kr//Recruit/GI_Read/37292136?Oem_Code=C1&logpath=1&stext=데이터엔지니어&listno=8
㈜더블다운인터액티브,서버개발 / 인프라개발자 / 데이터엔지니어(ETL) 모집 (경력),서울 강남구,https://www.jobkorea.co.kr//Recruit/GI_Read/37231159?Oem_Code=C1&logpath=1&stext=데이터엔지니어&listno=9
㈜스마일게이트스토브,[데이터기술] 데이터엔지니어 (Hadoop) 담당,경기 성남시,https://www.jobkorea.co.kr//Recruit/GI_Read/36835407?Oem_Code=C1&logpath=1&stext=데이터엔지니어&listno=10
(주)마이셀럽스,[마이셀럽스] 데이터 엔지니어(Junior) 경력직 채용,서울 강남구,https://www.jobkorea.co.kr//Recruit/GI_Read/36685855?Oem_Code=C1&logpath=1&stext=데이터엔지니어&listno=11
㈜솔로몬텍,[정규직] 데이터엔지니어 채용(Data Enginner / Big Data Platform),서울 영등포구,https://www.jobkorea.co.kr//Recruit/GI_Read/37315054?Oem_Code=C1&logpath=1&stext=데이터엔지니어&listno=12
㈜에이브랩스,데이터 엔지니어(Data Engineer) 채용,서울 중구,https://www.jobkorea.co.kr//Recruit/GI_Read/37198415?Oem_Code=C1&logpath=1&stext=데이터엔지니어&listno=13
미디언스,[R&D본부] 데이터팀 데이터엔지니어 (4년차 이상),서울 강남구,https://www.jobkorea.co.kr//Recruit/GI_Read/37461128?Oem_Code=C1&logpath=1&stext=데이터엔지니어&listno=14
㈜퍼블릭에이아이,"퍼블릭에이아이 ML/DL개발자, 데이터 엔지니어, 서비스 기획자",서울 영등포구 외,https://www.jobkorea.co.kr//Recruit/GI_Read/37438434?Oem_Code=C1&logpath=1&stext=데이터엔지니어&listno=15
㈜원더피플,[원더피플]데이터랩팀 데이터 엔지니어(DBA) 모집,서울 강남구 외,https://www.jobkorea.co.kr//Recruit/GI_Read/37403129?Oem_Code=C1&logpath=1&stext=데이터엔지니어&listno=16
㈜원더피플,[원더피플]데이터랩팀 데이터 엔지니어 모집,서울 강남구 외,https://www.jobkorea.co.kr//Recruit/GI_Read/37403053?Oem_Code=C1&logpath=1&stext=데이터엔지니어&listno=17
와디즈 주식회사,[와디즈]데이터 엔지니어,경기 성남시,https://www.jobkorea.co.kr//Recruit/GI_Read/37352499?Oem_Code=C1&logpath=1&stext=데이터엔지니어&listno=18
㈜브레인벤쳐스,데이터 엔지니어 모집/ 추천 시스템 개발자 모집,경기 성남시,https://www.jobkorea.co.kr//Recruit/GI_Read/37323830?Oem_Code=C1&logpath=1&stext=데이터엔지니어&listno=19
나이스지니데이타㈜,NICE지니데이타(주) 데이터 엔지니어(플랫폼) 경력직 채용,서울 영등포구,https://www.jobkorea.co.kr//Recruit/GI_Read/37323169?Oem_Code=C1&logpath=1&stext=데이터엔지니어&listno=20
수자원환경산업진흥㈜,수자원환경산업진흥(주)신규인력 채용 공고,서울 동대문구,https://www.jobkorea.co.kr//Recruit/Co_Read/C/waterway1
기아㈜,각 부문별 신입/경력 채용,서울 강남구 외,https://www.jobkorea.co.kr//Recruit/Co_Read/C/kiamotor01
엘아이지넥스원㈜,2022 LIG넥스원 신입/경력사원 수시채용,서울 강남구,https://www.jobkorea.co.kr//Recruit/Co_Read/C/lignex1hr
㈜넵스,2022년 각 부문 신입/경력사원 수시 채용,서울 서초구,https://www.jobkorea.co.kr//Recruit/Co_Read/C/nefs02
장인의집,[제주 장인의집] 2022년 상반기 직원 채용,서울 성동구,https://www.jobkorea.co.kr//Recruit/Co_Read/C/dlscjf1020
신라스테이,[신라스테이] 본사(HQ) 신입·경력사원 채용,서울 영등포구,https://www.jobkorea.co.kr//Recruit/Co_Read/C/shillastayhr
쿠팡,[쿠팡] 쿠팡이츠 가맹점 영업사원/운영관리 담당 (계약직) 대규모 채용,서울 강남구,https://www.jobkorea.co.kr//Recruit/Co_Read/C/coupangeats
두산,[두산그룹] 22년 상반기 채용연계형 인턴 채용,서울 마포구,https://www.jobkorea.co.kr//Recruit/Co_Read/C/c-040368
㈜세아네트웍스,각 부문 인턴/신입/경력 채용,서울 강남구,https://www.jobkorea.co.kr//Recruit/Co_Read/C/seahinfo
CJ제일제당,"BIO사업부문 경력사원(생산기술, 환경안전, 에너지, 품질관리) 채용",경기 성남시 외,https://www.jobkorea.co.kr//Recruit/Co_Read/C/cjfdunit
서울애널리티카,서울애널리티카 데이터엔지니어 / 개발자 모집,서울 영등포구,https://www.jobkorea.co.kr//Recruit/GI_Read/37310951?Oem_Code=C1&logpath=1&stext=데이터엔지니어&listno=21
누리꿈소프트㈜,[마곡]하둡기반 데이터엔지니어를 구인합니다 (즉시부터 12월말),경기 성남시,https://www.jobkorea.co.kr//Recruit/GI_Read/37309870?Oem_Code=C1&logpath=1&stext=데이터엔지니어&listno=22
펑타이그레이터차이나(유),[펑타이코리아] 데이터 엔지니어 (계약),경기 성남시,https://www.jobkorea.co.kr//Recruit/GI_Read/37164599?Oem_Code=C1&logpath=1&stext=데이터엔지니어&listno=23
비즈데이터,데이터엔지니어 정규직 모집 공고(신입/경력),서울 강남구,https://www.jobkorea.co.kr//Recruit/GI_Read/37156145?Oem_Code=C1&logpath=1&stext=데이터엔지니어&listno=24
㈜하이퍼라운지,데이터 엔지니어 및 SQL 개발 관련 인재 채용,서울 강남구,https://www.jobkorea.co.kr//Recruit/GI_Read/37098089?Oem_Code=C1&logpath=1&stext=데이터엔지니어&listno=25
㈜잡스랩,[SKT계열/OTT] 데이터 엔지니어 채용,서울 강남구,https://www.jobkorea.co.kr//Recruit/GI_Read/37036887?Oem_Code=C1&logpath=1&stext=데이터엔지니어&listno=26
㈜발란,명품 이커머스 플랫폼 `발란` 데이터 엔지니어,서울 중구,https://www.jobkorea.co.kr//Recruit/GI_Read/36907522?Oem_Code=C1&logpath=1&stext=데이터엔지니어&listno=27
파인트리파트너스㈜,(정규직) 데이터 엔지니어/데이터 분석가 모집,서울 강남구,https://www.jobkorea.co.kr//Recruit/GI_Read/36860300?Oem_Code=C1&logpath=1&stext=데이터엔지니어&listno=28
㈜비에스지파트너스,[BSG] AWS SA. DBA. 데봅스. 데이터엔지니어. Admin,경기 성남시,https://www.jobkorea.co.kr//Recruit/GI_Read/36851140?Oem_Code=C1&logpath=1&stext=데이터엔지니어&listno=29
㈜바이텍씨스템,빅데이터 분석 플랫폼 데이터 엔지니어 모집 [DB 운영],서울 금천구,https://www.jobkorea.co.kr//Recruit/GI_Read/36841054?Oem_Code=C1&logpath=1&stext=데이터엔지니어&listno=30
코리아엑스퍼트㈜,빅데이터 분석 기반의 의사결정자동화를 위한 JAVA 백앤드 및 데이터엔지니어 모집 (금융/공공),서울 강남구,https://www.jobkorea.co.kr//Recruit/GI_Read/36780287?Oem_Code=C1&logpath=1&stext=데이터엔지니어&listno=31
㈜위메이드커넥트,[위메이드커넥트] 데이터 엔지니어를 찾습니다.,서울 강남구,https://www.jobkorea.co.kr//Recruit/GI_Read/36767126?Oem_Code=C1&logpath=1&stext=데이터엔지니어&listno=32
㈜스마일게이트알피지,[LOST ARK] 게임 데이터엔지니어 담당 모집,서울 강남구,https://www.jobkorea.co.kr//Recruit/GI_Read/36646576?Oem_Code=C1&logpath=1&stext=데이터엔지니어&listno=33
㈜소프트위즈,"DBA, 데이터엔지니어 경력직원 모집",제주 제주시 외,https://www.jobkorea.co.kr//Recruit/GI_Read/37444285?Oem_Code=C1&logpath=1&stext=데이터엔지니어&listno=34
㈜더블유컨셉코리아,[W컨셉] 데이터 엔지니어 경력 채용,경기 성남시,https://www.jobkorea.co.kr//Recruit/GI_Read/37327745?Oem_Code=C1&logpath=1&stext=데이터엔지니어&listno=35
㈜컨셉터스,빅데이터 플랫폼 SW/데이터엔지니어(JAVA/Python/C++) 경력직 채용,서울 마포구,https://www.jobkorea.co.kr//Recruit/GI_Read/37327487?Oem_Code=C1&logpath=1&stext=데이터엔지니어&listno=36
㈜골라라,[골라라] 데이터 엔지니어/분석가(Data Engineer/Analyst)를 모십니다.,세종 전지역,https://www.jobkorea.co.kr//Recruit/GI_Read/36743064?Oem_Code=C1&logpath=1&stext=데이터엔지니어&listno=37
데이터마케팅코리아,"데이터 엔지니어, 데이터 모델러 채용",세종 전지역,https://www.jobkorea.co.kr//Recruit/GI_Read/36671672?Oem_Code=C1&logpath=1&stext=데이터엔지니어&listno=38
㈜엔씨소프트,[엔씨소프트] AI R&D 데이터플랫폼 엔지니어 모집,서울 영등포구,https://www.jobkorea.co.kr//Recruit/GI_Read/37365366?Oem_Code=C1&logpath=1&stext=데이터엔지니어&listno=39
㈜써머스플랫폼,[에누리가격비교] 써머스플랫폼 데이터사이언티스트/엔지니어 채용,경기 고양시 외,https://www.jobkorea.co.kr//Recruit/GI_Read/37517201?Oem_Code=C1&logpath=1&stext=데이터엔지니어&listno=40
기아㈜,각 부문별 신입/경력 채용,경기 남양주시 외,https://www.jobkorea.co.kr//Recruit/Co_Read/C/kiamotor01
와이엠씨㈜,와이엠씨(주) 2022년 상반기 모집공고,경기 오산시 외,https://www.jobkorea.co.kr//Recruit/Co_Read/C/ymc0212
콘티넨탈 오토모티브 일렉트로닉스 유한회사,콘티넨탈 부문별 인재 영입 (신입/경력),경기 군포시 외,https://www.jobkorea.co.kr//Recruit/Co_Read/C/vdohalla
㈜반도건설,2022년 상반기 각 부문 경력 및 신입사원 공개채용,경기 고양시 외,https://www.jobkorea.co.kr//Recruit/Co_Read/C/bandobora
명인제약㈜,2022년도[상반기]신입 및 경력사원 모집,인천 서구 외,https://www.jobkorea.co.kr//Recruit/Co_Read/C/myunginp
한국전력공사,2022년도 1차 6직급 채용,서울 성북구 외,https://www.jobkorea.co.kr//Recruit/Co_Read/C/c-041768
㈜코비젼,각 부문별 경력/신입 채용,경기 평택시 외,https://www.jobkorea.co.kr//Recruit/Co_Read/C/covi
SK증권㈜,2022년 상반기 경력사원 공개채용,경기 광명시 외,https://www.jobkorea.co.kr//Recruit/Co_Read/C/skshrmt
㈔한국음악저작권협회,2022년도 (사)한국음악저작권협회 신입사원 공개채용 및 보훈 제한경쟁 채용,경기 하남시 외,https://www.jobkorea.co.kr//Recruit/Co_Read/C/komca2008
