기업명,제목,주소,링크
서울대학교병원,서울대학교병원 마취통증의학과 데이터 엔지니어  채용,서울 종로구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=42114344&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=auto&paid_fl=n
(주)휴머스온,"데이터엔지니어, 데이터 사이언티스트, 데이터 분석가 경력 모집",서울 강남구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=42378254&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=auto&paid_fl=n
(주)버즈니,[업계1위/신입초봉5천]  빅데이터 엔지니어 (Python),서울 관악구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=42174747&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=auto&paid_fl=n
파인트리파트너스(주),[정규직] 데이터컨설턴트/데이터엔지니어/빅데이터개발자 모집,서울 마포구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=42111860&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=auto&paid_fl=n
(주)버터,"머신러닝, 빅데이터 엔지니어 채용",대전 유성구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=42388781&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=auto&paid_fl=n
(주)씨제이이엔엠,CJ ENM 엔터테인먼트부문 AI/ML 및 데이터 엔지니어 경력 채용,서울 중구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=42197600&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=auto&paid_fl=n
코오롱인더스트리(주) FnC부문,데이터 엔지니어(DBA/DA) 경력직 채용,서울 강남구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=42359910&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=auto&paid_fl=n
(주)어니스트펀드,[어니스트펀드] 데이터 엔지니어 채용 (경력 무관),서울 영등포구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=42031885&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=auto&paid_fl=n
(주)스마일게이트알피지,[LOST ARK] 게임 데이터엔지니어 담당 모집,경기 성남시 분당구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=42178257&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=auto&paid_fl=n
(주)드림어스컴퍼니,[뮤직플랫폼 FLO] 데이터 엔지니어 (Python 백엔드 경력자), 서울전체,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=41615318&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=auto&paid_fl=n
